Year;Production Indicator;Value;Periodicity;Date_Object
1964;Total;694.13;Annually;1964-01-01
1965;Total;804.94;Annually;1965-01-01
1967;Total;1023.84;Annually;1967-01-01
1971;Total;1740.68;Annually;1971-01-01
1977;Total;3357.96;Annually;1977-01-01
1980;Total;3623.8;Annually;1980-01-01
1986;Total;1746.2;Annually;1986-01-01
1993;Total;2937.4;Annually;1993-01-01
1995;Total;2928.54;Annually;1995-01-01
1999;Total;2761.1;Annually;1999-01-01
2002;Total;2588.98;Annually;2002-01-01
2004;Total;3256.3;Annually;2004-01-01
2006;Total;3360.9;Annually;2006-01-01
2011;Total;3398.52;Annually;2011-01-01
2013;Total;3517.62;Annually;2013-01-01
1963;Percentage Change;8.66179805255436;Annually;1963-01-01
1964;Percentage Change;6.50903009007073;Annually;1964-01-01
1968;Percentage Change;8.77773870917331;Annually;1968-01-01
1971;Percentage Change;25.5295059386876;Annually;1971-01-01
1972;Percentage Change;26.4999885102374;Annually;1972-01-01
1987;Percentage Change;-13.7899438781354;Annually;1987-01-01
1991;Percentage Change;26.5968810083316;Annually;1991-01-01
1996;Percentage Change;1.26035498917549;Annually;1996-01-01
1997;Percentage Change;-1.38832217707261;Annually;1997-01-01
2000;Percentage Change;7.2978160877911;Annually;2000-01-01
2005;Percentage Change;4.8410772963179;Annually;2005-01-01
2008;Percentage Change;4.61717276250323;Annually;2008-01-01
2010;Percentage Change;-0.2289716028347;Annually;2010-01-01
2011;Percentage Change;14.0278416201689;Annually;2011-01-01
1963;Daily Average;1.78550684931507;Annually;1963-01-01
1968;Daily Average;3.04292349726776;Annually;1968-01-01
1975;Daily Average;7.07542465753425;Annually;1975-01-01
1984;Daily Average;4.07896174863388;Annually;1984-01-01
1990;Daily Average;6.41232876712329;Annually;1990-01-01
1994;Daily Average;8.04904109589041;Annually;1994-01-01
1996;Daily Average;8.10232240437158;Annually;1996-01-01
2007;Daily Average;8.81580821917808;Annually;2007-01-01
2008;Daily Average;9.19765027322404;Annually;2008-01-01
2012;Daily Average;9.76338797814208;Annually;2012-01-01
2016;Daily Average;10.4601912568306;Annually;2016-01-01
1969;Total;1173.89;Annually;1969-01-01
1970;Total;1386.67;Annually;1970-01-01
1972;Total;2201.96;Annually;1972-01-01
1976;Total;3139.28;Annually;1976-01-01
1981;Total;3579.89;Annually;1981-01-01
1982;Total;2366.41;Annually;1982-01-01
1984;Total;1492.9;Annually;1984-01-01
1990;Total;2340.5;Annually;1990-01-01
1992;Total;3049.4;Annually;1992-01-01
1994;Total;2937.9;Annually;1994-01-01
1996;Total;2965.45;Annually;1996-01-01
1997;Total;2924.28;Annually;1997-01-01
2000;Total;2962.6;Annually;2000-01-01
2003;Total;3069.74;Annually;2003-01-01
2012;Total;3573.4;Annually;2012-01-01
2018;Total;3765.13;Annually;2018-01-01
2020;Total;3372.03;Annually;2020-01-01
2022;Total;3865.72;Annually;2022-01-01
1962;Percentage Change;0.0;Annually;1962-01-01
1966;Percentage Change;17.843565980073;Annually;1966-01-01
1979;Percentage Change;14.8272220205287;Annually;1979-01-01
1984;Percentage Change;-9.89691468301869;Annually;1984-01-01
1988;Percentage Change;25.554669855188;Annually;1988-01-01
1990;Percentage Change;26.6161752772518;Annually;1990-01-01
1992;Percentage Change;2.91596355045562;Annually;1992-01-01
1998;Percentage Change;3.35091030954627;Annually;1998-01-01
1999;Percentage Change;-8.64151779953479;Annually;1999-01-01
2006;Percentage Change;-1.55363011652226;Annually;2006-01-01
2012;Percentage Change;5.14576933488695;Annually;2012-01-01
1962;Daily Average;1.64317808219178;Annually;1962-01-01
1965;Daily Average;2.20531506849315;Annually;1965-01-01
1973;Daily Average;7.59619178082192;Annually;1973-01-01
1980;Daily Average;9.90109289617486;Annually;1980-01-01
